"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"SLC20A2",-0.570732480120884,4.32668666585703,-4.41141445980971,1.31011234698359e-05,3.71117984458664e-05,2.05027837215189,"DOWN"
"SIRPA",-0.584876076874334,4.99901667246213,-4.40981967046726,1.31936114475373e-05,3.73638659922643e-05,2.0435662249546,"DOWN"
"CX3CL1",-0.616188136428417,3.80939279845477,-4.40739392220061,1.33354895049012e-05,3.77403943656855e-05,2.03336097478498,"DOWN"
"APBB3",0.517951059416821,3.41470272727381,4.40627242709126,1.34015766124209e-05,3.79210832539756e-05,2.02864451403824,"UP"
"RNF135",-0.671657766186438,2.77913745428207,-4.40571929302248,1.34342868702916e-05,3.80009308144774e-05,2.02631870465169,"DOWN"
"C3AR1",-0.558473939920582,2.30380353673552,-4.4042425573128,1.35219902962126e-05,3.82298409026256e-05,2.02011065192741,"DOWN"
"PRSS22",-0.737893015706791,0.626841352513454,-4.40134386252345,1.3695740515188e-05,3.86952120984299e-05,2.00793033254142,"DOWN"
"PTK7",0.772469972669707,1.60647712484921,4.39860220600055,1.38620429531344e-05,3.91389335574816e-05,1.99641660784104,"UP"
"CCDC187",0.582128378944493,0.596795659404878,4.39613508465497,1.40133436377489e-05,3.95397344829663e-05,1.98606139253202,"UP"
"TNFRSF17",-0.511057021771643,0.558363400205281,-4.39587552576774,1.40293531435986e-05,3.95717093753679e-05,1.98497225712467,"DOWN"
"ZFAND5",-0.678879561198197,5.82041618969215,-4.39563792587533,1.40440235728995e-05,3.96064871461721e-05,1.98397531523368,"DOWN"
"LTO1",0.571456975685803,1.93430047911453,4.39017997585727,1.43850916610903e-05,4.04941167854449e-05,1.96108789757993,"UP"
"MCRIP1",0.557547978909354,5.56412084126685,4.38927968111079,1.44421074847257e-05,4.06478544160086e-05,1.95731508228458,"UP"
"SEMA4B",-0.509395734923431,3.81278979248519,-4.38870360556875,1.44787038564565e-05,4.07358018596195e-05,1.95490132429486,"DOWN"
"SLC1A2",-1.08156224280944,2.30598659464995,-4.3886741528722,1.44805772818162e-05,4.07358018596195e-05,1.95477792517708,"DOWN"
"GPC6",-0.746442946506923,3.61600733666236,-4.3876434894972,1.45462819590676e-05,4.08934436001634e-05,1.95046018959392,"DOWN"
"DDO",-0.517904625048412,3.67299423004569,-4.38726481979169,1.45704937074395e-05,4.09547049873064e-05,1.94887406895976,"DOWN"
"SLAMF6",-0.550197621452724,1.37802182685565,-4.38215832894748,1.49007879704967e-05,4.18275104924974e-05,1.92749687168742,"DOWN"
"LRRC20",0.573523105651033,4.84759905313319,4.38172198727939,1.49293409898981e-05,4.19007097180405e-05,1.92567127569634,"UP"
"SGCB",-0.715837516203238,2.93213205403094,-4.3770204732191,1.52403353750537e-05,4.2745187283488e-05,1.90601127146713,"DOWN"
"TENM1",-0.563162437173889,0.802249602975405,-4.37624934796134,1.52919316589045e-05,4.28685844268263e-05,1.90278854544352,"DOWN"
"ANGPTL2",-0.631784017819952,3.39328027141763,-4.37521328946681,1.53615179215656e-05,4.30422660623964e-05,1.89845941181803,"DOWN"
"ETNPPL",-1.32431943912936,4.89562265656728,-4.37281434237563,1.55238066414507e-05,4.34897900960243e-05,1.88843908336311,"DOWN"
"SP5",1.04361424633523,2.58911846257977,4.37018033320817,1.57038864288844e-05,4.39578928475026e-05,1.87744267881989,"UP"
"ACSM2B",-1.14125156472375,5.82254812973962,-4.3694294142946,1.57555896406607e-05,4.40953245632848e-05,1.8743088654066,"DOWN"
"RGS2",-0.932520543582865,3.86895041684782,-4.36580750566884,1.60072653993581e-05,4.47848772854726e-05,1.85920043366077,"DOWN"
"AMIGO2",-0.604963892905689,1.83442608097503,-4.3646445077802,1.60888912055903e-05,4.49909317616581e-05,1.85435152701257,"DOWN"
"ADGRL1",0.683328973032293,1.51951464345553,4.36311982187004,1.61965056758262e-05,4.52768994780531e-05,1.84799641322573,"UP"
"GMPR",-0.872763555417055,2.53751660759876,-4.35852700478122,1.65248500088145e-05,4.61414169965594e-05,1.82886511930221,"DOWN"
"TP53BP2",0.50734770673853,4.48306679060238,4.35649632007078,1.66720465650886e-05,4.65370669626962e-05,1.82041220008646,"UP"
"NIPAL2",0.650165487278756,3.55807636962178,4.35436944613669,1.68275597713393e-05,4.69634073710757e-05,1.81156273732435,"UP"
"FABP1",-1.6019248040815,9.19433914397391,-4.35374591673643,1.6873413484297e-05,4.70758498875167e-05,1.8089691136437,"DOWN"
"G6PC",-1.33652190912871,7.45904586470883,-4.35325488814501,1.69096073081643e-05,4.71690513124708e-05,1.80692687689469,"DOWN"
"BCL3",-0.594883931601023,5.58863347036509,-4.35316821721288,1.69160035463319e-05,4.71791158739876e-05,1.80656642569052,"DOWN"
"TNFSF12",-0.504940313045014,3.54499033084151,-4.35016043662555,1.71394141736636e-05,4.77815452592222e-05,1.79406158132879,"DOWN"
"RELB",0.551815371475836,4.20908733442014,4.35014624257149,1.7140475132881e-05,4.77815452592222e-05,1.79400258826311,"UP"
"AIF1",-0.712542769399423,4.79704213688744,-4.34948160252334,1.71902251956725e-05,4.7904446728586e-05,1.79124042024241,"DOWN"
"FLYWCH2",0.575298411996395,4.43887263285558,4.34697636887064,1.73789926849675e-05,4.83986068502857e-05,1.78083241788439,"UP"
"ISLR",-1.12717129826338,2.77809744510148,-4.34644990973028,1.74189122617227e-05,4.84888805485429e-05,1.77864593735301,"DOWN"
"SULT2A1",-1.50640834454543,8.57612166026255,-4.34408719311125,1.75991512551276e-05,4.89794799980287e-05,1.76883612227039,"DOWN"
"FGFR1",-0.558226744097216,1.53088594139302,-4.34069095786944,1.78613588612642e-05,4.96765373588843e-05,1.75474374825265,"DOWN"
"HHIPL2",0.884617062646986,0.846518922240209,4.33892671581463,1.79990379083598e-05,5.00347823964772e-05,1.74742715493086,"UP"
"MYRIP",-1.0254366461804,3.02211173010689,-4.33859987485173,1.80246552891256e-05,5.00977648073743e-05,1.74607199144373,"DOWN"
"EBPL",-0.568003760026735,6.30896628031625,-4.33828710350256,1.80492025511947e-05,5.01495166451176e-05,1.74477525132827,"DOWN"
"MPZ",1.16632124916957,2.69373321999252,4.33638351008082,1.81992931213505e-05,5.05489620911025e-05,1.73688485389993,"UP"
"TRIM50",1.1332897631822,1.22210291744034,4.33221052138692,1.85325024593151e-05,5.14163754900921e-05,1.71959887408103,"UP"
"ST6GAL1",-0.681917042949364,7.1217652406656,-4.33044014361226,1.86756205838916e-05,5.17455667103373e-05,1.71226994146672,"DOWN"
"PKD2",-0.51981649926949,2.60255765873919,-4.33000608172754,1.87108712865976e-05,5.18262650254571e-05,1.71047344865846,"DOWN"
"SLC1A4",0.507192816417488,3.47215176047937,4.3270826071625,1.89499524665328e-05,5.24284083855789e-05,1.69837807368169,"UP"
"SULF2",-0.889755186076686,3.80287032467509,-4.32297174500388,1.92910831538701e-05,5.33111902738258e-05,1.68138271044679,"DOWN"
"C1QA",-0.862902853945721,7.43817468626738,-4.31823694554533,1.96912638185792e-05,5.43460895570345e-05,1.66182611877385,"DOWN"
"EDN1",-0.599733196816172,1.91854032595843,-4.31619915406055,1.98659273216855e-05,5.47923971002836e-05,1.65341526314875,"DOWN"
"PLAUR",-0.607342909306885,2.02123543908251,-4.31516637809852,1.99550131836191e-05,5.50112052916289e-05,1.64915393093412,"DOWN"
"C4orf48",0.851049318609278,2.37544754063889,4.31388489030659,2.00660834397351e-05,5.52903758156257e-05,1.64386768563442,"UP"
"SLC22A15",0.571391051421946,1.06550928411289,4.30795226336164,2.05880254229952e-05,5.66971518421931e-05,1.61941380001168,"UP"
"UBXN10",-0.956255967070227,2.20501808090875,-4.30558927731954,2.07995083466918e-05,5.72553246680285e-05,1.60968229905362,"DOWN"
"CNFN",0.791974267305279,1.57186273819182,4.30478701407897,2.08717802634081e-05,5.74355820193737e-05,1.60637944309638,"UP"
"EPHB2",0.687356542689759,1.05942612614636,4.30356589335987,2.09822457174459e-05,5.77207900804588e-05,1.60135326331519,"UP"
