"","substanceBXH","geneSymbol","moduleColor","GS.Activity_score","p.GS.Activity_score","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise"
"BRSK2","BRSK2","BRSK2","grey",0.0106332971100448,0.839558872521648,0.134030103788811,0.010364229737327,0.336918460570076,3.87045168658388e-11,0.208646166761011,5.89934526652647e-05,0.138646540874668,0.0079880276770404
"FGF2","FGF2","FGF2","grey",-0.0105443702721298,0.840882717737933,0.081061112316187,0.122127924368243,-0.20417099091375,8.53836311583075e-05,0.015293351730386,0.770903018318506,0.255089611336184,7.86434117843195e-07
"IL17A","IL17A","IL17A","grey",0.00945828924587779,0.857086170901121,0.0293539289792115,0.576159742642443,-0.0751685809555134,0.151801792751287,0.022489976517253,0.668468555168178,0.0893995086755923,0.0880950111512308
"SCN2A","SCN2A","SCN2A","grey",0.00925433774623495,0.860135879130196,0.214648778658563,3.54814761867389e-05,0.101962292110779,0.0516090485941465,0.188247500771392,0.00029859941393817,0.309010123080164,1.62314944767557e-09
"GOT1","GOT1","GOT1","grey",0.00770602156541114,0.883352614981508,-0.0650998512909828,0.214686526254869,-0.0936012650017857,0.074092985247272,-0.218376720335431,2.56872443581555e-05,-0.116707732547839,0.0257690500508923
"IFI27L1","IFI27L1","IFI27L1","grey",-0.00692083992375797,0.895165814827438,-0.0301026980231438,0.56646290889892,0.122101967299049,0.0196223967166639,0.318751252277824,4.60081552419126e-10,-0.044836912539416,0.393049917563118
"STEAP3","STEAP3","STEAP3","grey",-0.00677413235571067,0.897375706596021,0.0384154740574392,0.464364330509848,-0.330571903584787,9.363430637889e-11,-0.241412853430122,3.07789422626366e-06,-0.00604703567408569,0.908339516015973
"CP","CP","CP","grey",0.00512202597023698,0.922312534853509,-0.000843851632780052,0.987181365575746,-0.490217788623412,1.83131113679924e-23,-0.259632982029857,4.91043273754934e-07,0.136407309383354,0.00907206969583214
"PRDX2","PRDX2","PRDX2","grey",-0.00430545284093464,0.934667548806646,0.111159922057226,0.0337533137269577,0.237895479745568,4.31630663898535e-06,0.337904997580635,3.36766633042788e-11,0.174494504402417,0.000813972428159658
"MT3","MT3","MT3","grey",0.00409598900243653,0.937839450781274,-0.0616905103558854,0.2397255900988,0.126160794153858,0.0158794453155543,0.0921957923389109,0.0785597231762278,-0.0777326431300934,0.138279198878519
"MAGEA3","MAGEA3","MAGEA3","grey",0.0039539209884211,0.939991342927409,0.0702076769160688,0.180776837615484,0.0348729846461808,0.506585219280999,0.262851863190397,3.4982907912415e-07,0.158536751324967,0.00238403235793917
"SIK1","SIK1","SIK1","grey",-0.00339869008045258,0.948405419031068,0.0504193302036035,0.336769945951817,-0.132261042585079,0.0114291206149054,-0.0282082755819901,0.591145543442503,0.151637327321819,0.00368545540171425
"STYXL1","STYXL1","STYXL1","grey",-0.00288205462172722,0.956239781546463,0.0684327228455357,0.192080031336163,0.300665258037405,4.61052961523983e-09,0.364819394034384,6.22543493277444e-13,0.0745141218191415,0.155408943235608
"POU4F1","POU4F1","POU4F1","grey",-0.00286768676623183,0.956457722243506,0.0949404731380057,0.0700313445840317,0.0970243490044612,0.064074627902509,0.128196872203695,0.0142492498597233,0.117275910049855,0.0250516793016465
"FGG","FGG","FGG","grey",-0.0014920015721457,0.977337626649151,-0.196210360247221,0.000161639990425674,-0.443679323743539,4.90178866681668e-19,-0.39483345439676,4.57253278519352e-15,-0.217636928036609,2.73999279972724e-05
"PDLIM1","PDLIM1","PDLIM1","grey",-0.00131406464923841,0.980039754112397,0.103918273914455,0.0472647337882012,0.0799524756073629,0.127335878849297,0.25210485899429,1.06643997652516e-06,0.192231874820067,0.000220318456045078
"DCC","DCC","DCC","grey",-0.000700116088280067,0.989364656451181,0.0265282791171257,0.613437652418159,-0.0893593272456285,0.0882385174638087,0.0429257684233142,0.413551574320865,0.124347558684489,0.0174664191484832
"LYN","LYN","LYN","turquoise",0.507682506525682,2.62117338009253e-25,0.649996364812385,3.38451260473982e-45,0.105657548670336,0.0436631141668525,0.358351486303392,1.68187445982874e-12,0.536174396204742,1.48530954579157e-28
"USP30","USP30","USP30","turquoise",-0.425749902474105,1.67120006398572e-17,-0.100954207449418,0.0539749519015345,-0.327324924864646,1.45995816291583e-10,0.0912889939863895,0.0815557108209788,0.50602200924374,3.96680419646939e-25
"SC5D","SC5D","SC5D","turquoise",-0.421469059629067,3.76438024685024e-17,-0.261224759115176,4.15470724845813e-07,-0.588114309350401,2.46612454009342e-35,-0.288188714619277,2.06652780848397e-08,0.174973013669946,0.000787007294372317
"ASAH1","ASAH1","ASAH1","turquoise",0.403993265361151,9.20982627296167e-16,0.692998488277999,1.57343131245196e-53,0.182490891893798,0.000458336839673859,0.379286663745165,6.20774773349481e-14,0.598254887860418,8.34608751971846e-37
"DRAM1","DRAM1","DRAM1","turquoise",0.403046996733863,1.08928699351747e-15,0.702542737115934,1.3952572618789e-55,0.350971811618085,5.08696697829568e-12,0.648241413269158,6.93454517385299e-45,0.685167394423559,6.63339417816481e-52
"JAK2","JAK2","JAK2","turquoise",0.399740757874231,1.94987001443123e-15,0.724603816488581,1.18030706795588e-60,0.0561869549018027,0.284342932355978,0.370364695983832,2.60795248638482e-13,0.716395279814738,1.03740340362908e-58
"PDK2","PDK2","PDK2","turquoise",-0.39627564018853,3.56460158695239e-15,-0.0297924757361198,0.570470934280341,-0.407066299330333,5.32023466892869e-16,0.0555639195980191,0.289725447834435,0.558061068812352,2.88234810381385e-31
"HDAC6","HDAC6","HDAC6","turquoise",-0.388456276265224,1.35543472802091e-14,-0.134406115096642,0.0101495621843381,-0.532080197007518,4.5441606061941e-28,-0.0968176261667483,0.0646462791083679,0.378215483146654,7.39248668023853e-14
"MTMR4","MTMR4","MTMR4","turquoise",-0.387024498930631,1.72438498229011e-14,-0.0872638085874376,0.0959863899535907,-0.339425467343324,2.71499315086679e-11,0.0875865370131051,0.094758999561704,0.458559057875062,2.2267183389695e-20
"IFNGR2","IFNGR2","IFNGR2","turquoise",0.382774530088812,3.49944930699163e-14,0.627588697969261,2.28141746192127e-41,0.53631983854562,1.42706256010984e-28,0.679663356193194,8.57942922509728e-51,0.545160040908934,1.20897247340135e-29
"IL6R","IL6R","IL6R","turquoise",-0.379968530112902,5.55266908036372e-14,-0.220863065363697,2.06444147213356e-05,-0.484299077695249,7.31359947727394e-23,-0.135274344305443,0.00966887820287173,0.322102288789564,2.95028276180017e-10
"MAP1LC3B","MAP1LC3B","MAP1LC3B","turquoise",0.375231903562512,1.19842165468771e-13,0.504685292436435,5.52820940339785e-25,0.125986445944854,0.0160263472754273,0.33574005846433,4.56737601538142e-11,0.438314877830366,1.44043901951185e-18
"BTG2","BTG2","BTG2","turquoise",0.36376544449877,7.33109542163449e-13,0.563238361012369,6.14355828239002e-32,0.215942000609591,3.1740373623917e-05,0.295636362162508,8.51364543693574e-09,0.475240121654765,5.78393007914292e-22
"STBD1","STBD1","STBD1","turquoise",-0.361229165059246,1.08382725912712e-12,-0.15525818779888,0.0029386491410179,-0.478431950867648,2.81081960310909e-22,-0.181731785274715,0.000484523498062538,0.246222005885475,1.92224633713356e-06
"TMEM150C","TMEM150C","TMEM150C","turquoise",-0.351238863578911,4.8896964941588e-12,-0.175195706541136,0.000774741705622785,-0.522580037321252,5.74342884877336e-27,-0.217996172186862,2.65551683713773e-05,0.262388117468827,3.67445535269269e-07
"PTPN2","PTPN2","PTPN2","turquoise",0.350433704017938,5.50834664085275e-12,0.641357171861782,1.10520706314636e-43,0.443160365589825,5.44509794398863e-19,0.565258112157896,3.33664285335942e-32,0.608328336578922,2.55816375951344e-38
"MYO5A","MYO5A","MYO5A","turquoise",0.350103266728758,5.78378971562836e-12,0.659295593066986,6.97907155182261e-47,0.00879823315063383,0.866963515703487,0.360148155473113,1.27900615035307e-12,0.59728352250127,1.16041546996121e-36
"PRKAB2","PRKAB2","PRKAB2","turquoise",-0.345164177774558,1.19129815835616e-11,-0.0371744399706681,0.478929512835268,-0.193129427083208,0.000205560531704912,0.0870006905157222,0.0969964211095258,0.477801509500096,3.24334737540802e-22
"DEPDC5","DEPDC5","DEPDC5","turquoise",-0.336969814594911,3.8425641721978e-11,0.0151260702454584,0.773340298586505,-0.222013797260199,1.8642582519693e-05,0.112882877832016,0.0310740701681724,0.443358918433484,5.23056809135e-19
"DBT","DBT","DBT","turquoise",-0.334730204167857,5.26071457472437e-11,-0.0221909388089335,0.672619870915791,-0.520385814926028,1.02031150480827e-26,-0.150102751798685,0.00405086458025611,0.470037138710659,1.84539947903601e-21
"HIF1A","HIF1A","HIF1A","turquoise",0.334351169262396,5.54656947393585e-11,0.716208734645784,1.1463652934549e-58,0.144969508045602,0.00552337559271992,0.456315826544414,3.58359932096474e-20,0.806165968772206,9.65359466946379e-85
"POLDIP2","POLDIP2","POLDIP2","turquoise",-0.333054760466137,6.64330665068283e-11,-0.100247945529872,0.0556856501283447,-0.0484659613178873,0.355846955450789,0.353331694307382,3.58184694214289e-12,0.315599340019637,6.95299291913384e-10
"SIRT3","SIRT3","SIRT3","turquoise",-0.32778678221677,1.37100816741704e-10,-0.0419787484111969,0.423939997331381,-0.189328963432128,0.000275114148849096,0.140777431193724,0.00706528928943687,0.382625720051974,3.58658643915262e-14
"SIK2","SIK2","SIK2","turquoise",-0.321657642915337,3.13044485515702e-10,0.000983681153684265,0.985057497377424,-0.31976935665356,4.02215376925157e-10,-0.0728867051186976,0.164659190582132,0.478012991195009,3.09140606356496e-22
"SIRPA","SIRPA","SIRPA","turquoise",0.320133084127802,3.83309868887603e-10,0.570076728323811,7.64564656600353e-33,0.225837022320329,1.32329137514856e-05,0.379042615581845,6.46012692706443e-14,0.477543337840452,3.4388375628174e-22
"GPR137B","GPR137B","GPR137B","turquoise",0.319794854463706,4.00861047269931e-10,0.524431584768771,3.52506941728485e-27,0.267487310530922,2.12977681893389e-07,0.388877564437729,1.2624578411626e-14,0.460712762166416,1.40546269943394e-20
"PDK4","PDK4","PDK4","turquoise",-0.317287220427305,5.57693374188903e-10,-0.188983406027033,0.0002824240555628,-0.650186446094365,3.13062463676556e-45,-0.38798890809253,1.46643978283711e-14,0.158390673003264,0.00240655449974581
"RALB","RALB","RALB","turquoise",0.315177103790307,7.34576957913413e-10,0.69642647697342,2.94485750471886e-54,0.266495755245528,2.37017040732816e-07,0.532543588551824,4.00700545495373e-28,0.713855363827856,4.01364873950394e-58
