"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPL18",1.21386725318011e-220,0.499698434871138,0.984,0.918,2.52569359369185e-216,"Low","RPL18"
"SH2D2A",8.81051725466086e-219,3.27057677420907,0.36,0.097,1.83320432517729e-214,"Low","SH2D2A"
"BZW1",7.16006650621232e-216,1.30675197282161,0.646,0.508,1.4897950379476e-211,"Low","BZW1"
"XCL1",7.84956942037467e-216,3.53546037771499,0.404,0.143,1.63325990929736e-211,"Low","XCL1"
"PIP4K2A",7.24621158630913e-214,2.13437653546617,0.471,0.253,1.50771924476334e-209,"Low","PIP4K2A"
"GATA3",1.90778897935073e-212,3.69846902675743,0.325,0.065,3.96953652933506e-208,"Low","GATA3"
"RPS6",9.282381645703e-212,0.539923354661527,0.972,0.904,1.93138514902142e-207,"Low","RPS6"
"CDC42SE1",7.15683892238718e-210,1.52933073209325,0.593,0.436,1.4891234745811e-205,"Low","CDC42SE1"
"SPOCK2",2.63168277656268e-209,3.42224644729946,0.344,0.087,5.47574235319396e-205,"Low","SPOCK2"
"IDS",2.82550182358227e-207,1.58125858174329,0.586,0.437,5.87902164432764e-203,"Low","IDS"
"SLC2A3",1.9938343959748e-206,1.98035532918938,0.511,0.293,4.14857122770477e-202,"Low","SLC2A3"
"TPT1",1.16553799935639e-205,0.410088289423245,0.994,0.978,2.42513491526084e-201,"Low","TPT1"
"REL",1.69567952523942e-204,0.957113679537384,0.799,0.578,3.52820038816566e-200,"Low","REL"
"DOK2",1.08402924105165e-203,1.6834586604335,0.571,0.368,2.25553964185616e-199,"Low","DOK2"
"KMT2E",6.45841696253158e-200,1.28887325101986,0.639,0.53,1.34380281739395e-195,"Low","KMT2E"
"CCL4",2.34452455708506e-199,1.21648547326835,0.777,0.648,4.87825224592689e-195,"Low","CCL4"
"HNRNPA2B1",5.37395409523244e-199,0.722758025367876,0.877,0.799,1.11815862859501e-194,"Low","HNRNPA2B1"
"RPS25",9.89612446242615e-199,0.516656850234885,0.976,0.908,2.05908661689701e-194,"Low","RPS25"
"SRGN",1.38792732642632e-198,0.604365011082148,0.98,0.866,2.88786038809525e-194,"Low","SRGN"
"RPL7A",2.1607694712978e-197,0.436699938927859,0.984,0.929,4.49591303892932e-193,"Low","RPL7A"
"HSP90AA1",9.8077207970972e-196,1.31933771544657,0.972,0.907,2.04069246625201e-191,"Low","HSP90AA1"
"IL2RB",9.05390768770042e-195,3.41956585391638,0.326,0.082,1.88384657257983e-190,"Low","IL2RB"
"EVL",2.07801938667834e-193,1.27304649090207,0.622,0.435,4.32373493786162e-189,"Low","EVL"
"RPL28",1.50774106247886e-191,0.475040944151542,0.996,0.969,3.13715682869976e-187,"Low","RPL28"
"GZMK",1.69728999035975e-191,3.78070074092418,0.32,0.076,3.53155128294153e-187,"Low","GZMK"
"RPS14",1.71321959891694e-190,0.458253240697746,0.989,0.942,3.56469601946648e-186,"Low","RPS14"
"RPL37A",2.9160088211829e-190,0.516582746096802,0.957,0.895,6.06733955423527e-186,"Low","RPL37A"
"RPL29",5.72599302207331e-190,0.468302640303049,0.985,0.931,1.19140736810279e-185,"Low","RPL29"
"RPL21",8.06497711268155e-190,0.474449391405686,0.984,0.928,1.67807978783565e-185,"Low","RPL21"
"RBM8A",1.25071676957305e-188,1.12539221384096,0.67,0.59,2.60236638245064e-184,"Low","RBM8A"
"RPL10A",4.19113550312884e-188,0.569190984760991,0.953,0.859,8.72049564136017e-184,"Low","RPL10A"
"ELF1",1.30954554740576e-187,1.17879402462538,0.678,0.572,2.72477142048717e-183,"Low","ELF1"
"RPL36AL",1.6913211912027e-187,0.666868751304743,0.866,0.819,3.51913200253546e-183,"Low","RPL36AL"
"SKP1",1.78733778115252e-187,0.804493802134513,0.767,0.707,3.71891372124405e-183,"Low","SKP1"
"JAK1",1.54937237764928e-186,1.21322315676618,0.636,0.52,3.22377910617485e-182,"Low","JAK1"
"OTULIN",2.26250616734527e-185,2.43491017676085,0.439,0.233,4.7075965823953e-181,"Low","OTULIN"
"PARP8",3.04091477632385e-185,2.93074994479256,0.331,0.096,6.32723137509704e-181,"Low","PARP8"
"HNRNPDL",3.52422825796799e-185,0.814223947793898,0.792,0.726,7.33286173635399e-181,"Low","HNRNPDL"
"LCK",4.66312333771704e-185,3.41069690201447,0.297,0.062,9.70256072878784e-181,"Low","LCK"
"KLRC1",3.44509479550102e-184,3.56961737992754,0.301,0.065,7.16820874099896e-180,"Low","KLRC1"
"FOS",3.54682988156937e-184,0.755947598292932,0.951,0.86,7.37988893458138e-180,"Low","FOS"
"PMAIP1",3.07110398833416e-183,1.35746780664194,0.651,0.511,6.3900460685269e-179,"Low","PMAIP1"
"HLA-F",8.77030529182485e-183,1.08004652877428,0.668,0.58,1.82483742207e-178,"Low","HLA-F"
"MCL1",2.61743675685464e-181,0.744189063860454,0.864,0.771,5.44610065998744e-177,"Low","MCL1"
"CCND3",1.53938662969051e-180,1.71460449800773,0.509,0.34,3.20300176039704e-176,"Low","CCND3"
"SYNE2",8.26149525334915e-180,2.06035628889506,0.416,0.188,1.71896931736436e-175,"Low","SYNE2"
"GYPC",1.25750898116787e-179,1.33479009325726,0.565,0.425,2.61649893711599e-175,"Low","GYPC"
"RNF125",1.21130911907251e-178,2.99820745460493,0.326,0.097,2.52037088405418e-174,"Low","RNF125"
"SF1",7.64048775561782e-178,1.26799698810814,0.624,0.528,1.5897562873114e-173,"Low","SF1"
"CD2",1.14935006963329e-177,3.53034281104909,0.301,0.07,2.39145268988598e-173,"Low","CD2"
"KLF2",3.22026884641448e-177,0.954902495083954,0.815,0.724,6.7004133887346e-173,"Low","KLF2"
"CDC42SE2",6.96855357579498e-176,1.7441840847168,0.5,0.338,1.44994694251566e-171,"Low","CDC42SE2"
