"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"373","RUNX1T1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"374","SALL1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"375","SLCO5A1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"376","STK32B",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"377","TPTE",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"378","ACACB",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"379","ARFGEF3",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"380","CACNA1B",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"381","CCDC178",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"382","CENPE",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"383","CENPF",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"384","CNTN1",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"385","COL11A2",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"386","COL15A1",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"387","CPAMD8",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"388","CPS1",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"389","EIF2AK4",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"390","FYCO1",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"391","IGSF9B",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"392","KCNB2",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"393","MAP2",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"394","NCOA3",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"395","PCDHGA5",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"396","SAMD9",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"397","TENM4",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"398","TLR8",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
"399","VPS13A",3,5,0.689369937225712,1.59559779298388,8.38356861337613,0.243103786669825,1
